"Native.ID","TEMP","Longitude","Latitude"
"1A01P",NA,NA,NA
"1A02P",NA,NA,NA
"1A03P",NA,NA,NA
"1A14P",NA,NA,NA
"1A17P",NA,NA,NA
"1B01P",8.42,NA,NA
"1B02P",8.24,NA,NA
"1B08P",9.11,NA,NA
"1C12P",10.02,NA,NA
"1C18P",9.35,NA,NA
"1C20P",NA,NA,NA
"1C41P",9.59,NA,NA
"1D06P",9.03,NA,NA
"1D17P",10.48,NA,NA
"1D19P",11.08,NA,NA
"1E02P",9.81,NA,NA
"1E08P",8.58,NA,NA
"1E10P",9.51,NA,NA
"1E14P",12.68,NA,NA
"1F03P",9.64,NA,NA
"2A06P",8.83,NA,NA
"2A21P",8.69,NA,NA
"2A30P",8.21,NA,NA
"2B06P",10.07,NA,NA
"2B08P",8.87,NA,NA
"2C09Q",11.2,NA,NA
"2C10P",11.49,NA,NA
"2C14P",7.46,NA,NA
"2D08P",8.53,NA,NA
"2E07P",10.24,NA,NA
"2F05P",9.66,NA,NA
"2F18P",12.61,NA,NA
"2G03P",9.65,NA,NA
"3A22P",9.98,NA,NA
"3A24P",9.04,NA,NA
"3A25P",11.12,NA,NA
"3B17P",11.1,NA,NA
"3B23P",13.49,NA,NA
"3C08P",9.52,NA,NA
"4A02P",9.05,NA,NA
"4A09P",6.47,NA,NA
"4A27P",6.98,NA,NA
"4A30P",10.44,NA,NA
"4B15P",8.92,NA,NA
"4B16P",7.77,NA,NA
"4B17P",7.99,NA,NA
"4B18P",9.65,NA,NA
"4D10P",2.04,NA,NA
"4D11P",8.97,NA,NA
